Organism_Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP,species
Mycobacterium tuberculosis variant bovis AF2122/97,AF2122/97,20829,SAMEA20450668,PRJEB15187,Terrabacteria group,Actinobacteria,GCA_000195835.2,4.3499,65.6,chromosome Mycobacterium_bovis_AF2122/97:NC_002945.4/LT708304.1,-,1,4043,3988,2001/01/25,2018/09/11,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/835/GCF_000195835.2_ASM19583v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/835/GCA_000195835.2_ASM19583v2,bovis
Mycobacterium tuberculosis variant bovis,1595,20829,SAMN03761171,PRJNA285833,Terrabacteria group,Actinobacteria,GCA_001078615.1,4.35171,65.6,chromosome:NZ_CP012095.1/CP012095.1,-,1,4220,4026,2015/07/17,2017/04/10,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/078/615/GCF_001078615.1_ASM107861v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/078/615/GCA_001078615.1_ASM107861v1,bovis
Mycobacterium tuberculosis variant bovis,BCG-1 (Russia),20829,SAMN04364424,PRJNA306822,Terrabacteria group,Actinobacteria,GCA_001483905.1,4.37071,65.6,chromosome:NZ_CP013741.1/CP013741.1,-,1,4236,4039,2016/01/04,2017/04/05,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/483/905/GCF_001483905.1_ASM148390v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/905/GCA_001483905.1_ASM148390v1,bovis
Mycobacterium tuberculosis CDC1551,CDC1551,20829,SAMN02603992,PRJNA223,Terrabacteria group,Actinobacteria,GCA_000008585.1,4.40384,65.6,chromosome:NC_002755.2/AE000516.2,-,1,4282,4068,2001/10/02,2017/05/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/585/GCF_000008585.1_ASM858v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/585/GCA_000008585.1_ASM858v1,CDC
Mycobacterium tuberculosis variant africanum,MAL020148,20829,SAMN02673328,PRJNA240161,Terrabacteria group,Actinobacteria,GCA_000666125.1,4.3897,65.6,-,JKXO01,3,4270,4061,2014/04/29,2018/09/19,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/666/125/GCF_000666125.1_Myco_afri_MAL020148_V1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/666/125/GCA_000666125.1_Myco_afri_MAL020148_V1,africanum
Mycobacterium tuberculosis variant caprae,ATCC BAA-824,20829,SAMN06462279,PRJNA377261,Terrabacteria group,Actinobacteria,GCA_002982225.1,4.30463,65.6,-,MWXD01,141,4238,3989,2018/03/08,2019/03/19,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/982/225/GCF_002982225.1_ASM298222v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/982/225/GCA_002982225.1_ASM298222v1,caprae
Mycobacterium tuberculosis variant pinnipedii,MP1,20829,SAMN08741620,PRJNA439165,Terrabacteria group,Actinobacteria,GCA_003027895.2,4.279,65.4,-,PYQH02,106,4277,4029,2018/03/31,2019/03/20,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/027/895/GCF_003027895.2_ASM302789v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/027/895/GCA_003027895.2_ASM302789v2,pinnipedii
Mycobacterium tuberculosis variant africanum,ATCC 25420,20829,SAMN06462277,PRJNA377261,Terrabacteria group,Actinobacteria,GCA_002982335.1,4.35262,65.5,-,MWXF01,150,4257,4042,2018/03/08,2019/03/19,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/982/335/GCF_002982335.1_ASM298233v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/982/335/GCA_002982335.1_ASM298233v1,africanum
Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2,BCG Pasteur 1173P2,20829,SAMEA2272684,PRJEA18059,Terrabacteria group,Actinobacteria,GCA_000009445.1,4.3745199999999995,65.6,chromosome:NC_008769.1/AM408590.1,-,1,4239,4042,2007/01/08,2017/05/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/445/GCF_000009445.1_ASM944v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/445/GCA_000009445.1_ASM944v1,BCG
Mycobacterium tuberculosis variant bovis,2002/0476,20829,SAMN08321034,PRJNA428763,Terrabacteria group,Actinobacteria,GCA_002975475.1,4.35564,65.6,chromosome:NZ_CP027035.1/CP027035.1,-,1,4256,4055,2018/03/07,2018/03/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/975/475/GCF_002975475.1_ASM297547v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/975/475/GCA_002975475.1_ASM297547v1,bovis
Mycobacterium tuberculosis variant bovis,Danish delta-sapM,20829,SAMN10219709,PRJNA494982,Terrabacteria group,Actinobacteria,GCA_005155785.1,4.3327,65.6,chromosome:NZ_CP039851.1/CP039851.1,-,1,4234,4036,2019/05/06,2019/05/08,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/155/785/GCF_005155785.1_ASM515578v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/155/785/GCA_005155785.1_ASM515578v1,bovis
Mycobacterium tuberculosis variant bovis BCG str. Tokyo 172,Tokyo 172,20829,SAMD00060950,PRJDA31211,Terrabacteria group,Actinobacteria,GCA_000010685.1,4.37171,65.6,chromosome:NC_012207.1/AP010918.1,-,1,4234,4037,2009/03/09,2017/03/29,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/685/GCF_000010685.1_ASM1068v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/685/GCA_000010685.1_ASM1068v1,BCG
Mycobacterium tuberculosis variant africanum,25,20829,SAMN03257091,PRJNA270004,Terrabacteria group,Actinobacteria,GCA_001544855.1,4.386419999999999,65.6,chromosome:CP010334.1,-,1,4846,4798,2016/02/02,2016/02/03,Complete Genome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/544/855/GCA_001544855.1_ASM154485v1,africanum
Mycobacterium tuberculosis H37Ra,H37Ra; ATCC 25177,20829,SAMN02603128,PRJNA18883,Terrabacteria group,Actinobacteria,GCA_000016145.1,4.419980000000001,65.6,chromosome:NC_009525.1/CP000611.1,-,1,4296,4152,2007/05/31,2017/05/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/145/GCF_000016145.1_ASM1614v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/145/GCA_000016145.1_ASM1614v1,H37Ra
Mycobacterium tuberculosis variant bovis,Danish 1331,20829,SAMN10219708,PRJNA494982,Terrabacteria group,Actinobacteria,GCA_005156105.1,4.41181,65.7,chromosome:NZ_CP039850.1/CP039850.1,-,1,4310,4116,2019/05/06,2019/05/08,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/156/105/GCF_005156105.1_ASM515610v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/156/105/GCA_005156105.1_ASM515610v1,bovis
Mycobacterium tuberculosis variant bovis,BCG-1,20829,SAMN03658568,PRJNA284102,Terrabacteria group,Actinobacteria,GCA_001293105.1,4.36395,65.6,chromosome:NZ_CP011455.1/CP011455.1,-,1,4256,3979,2015/09/17,2017/04/10,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/293/105/GCF_001293105.1_ASM129310v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/293/105/GCA_001293105.1_ASM129310v1,bovis
Mycobacterium tuberculosis F11,F11,20829,SAMN00103286,PRJNA15642,Terrabacteria group,Actinobacteria,GCA_000016925.1,4.42443,65.6,chromosome:NC_009565.1/CP000717.1,-,1,4288,4126,2007/06/07,2017/05/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/925/GCF_000016925.1_ASM1692v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/925/GCA_000016925.1_ASM1692v1,mtb
Mycobacterium tuberculosis KZN 1435,KZN 1435,20829,SAMN00763683,PRJNA21055,Terrabacteria group,Actinobacteria,GCA_000023625.1,4.39825,65.6,chromosome:NC_012943.1/CP001658.1,-,1,4277,4109,2009/07/09,2017/05/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/625/GCF_000023625.1_ASM2362v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/625/GCA_000023625.1_ASM2362v1,mtb
Mycobacterium tuberculosis variant bovis,09-1191,20829,SAMN02899098,PRJNA214551,Terrabacteria group,Actinobacteria,GCA_000729745.1,4.327459999999999,65.6,-,JPFP01,86,4296,4078,2014/07/15,2019/03/12,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/729/745/GCF_000729745.1_ASM72974v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/729/745/GCA_000729745.1_ASM72974v1,bovis
Mycobacterium tuberculosis variant bovis,05-567,20829,SAMN02899231,PRJNA214551,Terrabacteria group,Actinobacteria,GCA_000729755.1,4.32889,65.6,-,JPFQ01,69,4294,4080,2014/07/15,2019/03/12,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/729/755/GCF_000729755.1_ASM72975v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/729/755/GCA_000729755.1_ASM72975v1,bovis
Mycobacterium tuberculosis str. Haarlem,Haarlem,20829,SAMN03081423,PRJNA17353,Terrabacteria group,Actinobacteria,GCA_000153685.2,4.40822,65.6,chromosome:NC_022350.1/CP001664.1,-,1,4271,4108,2013/09/11,2017/03/09,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/153/685/GCF_000153685.2_ASM15368v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/153/685/GCA_000153685.2_ASM15368v2,mtb
Mycobacterium tuberculosis KZN 4207,KZN 4207,20829,SAMN03081422,PRJNA21053,Terrabacteria group,Actinobacteria,GCA_000154585.2,4.39499,65.6,chromosome:NC_016768.1/CP001662.1,-,1,4271,4121,2011/04/07,2017/05/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/585/GCF_000154585.2_ASM15458v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/585/GCA_000154585.2_ASM15458v2,mtb
Mycobacterium tuberculosis variant bovis,05-566,20829,SAMN02899232,PRJNA214551,Terrabacteria group,Actinobacteria,GCA_000729765.1,4.30814,65.5,-,JPFR01,89,4301,4085,2014/07/15,2019/03/12,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/729/765/GCF_000729765.1_ASM72976v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/729/765/GCA_000729765.1_ASM72976v1,bovis
Mycobacterium tuberculosis variant bovis,49-09,20829,SAMN02902641,PRJNA214551,Terrabacteria group,Actinobacteria,GCA_000749605.1,4.33376,65.6,-,JQES01,61,4294,4078,2014/09/08,2019/03/12,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/749/605/GCF_000749605.1_ASM74960v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/749/605/GCA_000749605.1_ASM74960v1,bovis
Mycobacterium tuberculosis KZN 605,KZN 605,20829,SAMN00103288,PRJNA21057,Terrabacteria group,Actinobacteria,GCA_000154605.2,4.39912,65.6,chromosome:NC_018078.1/CP001976.1,-,1,4276,4108,2012/06/19,2017/05/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/154/605/GCF_000154605.2_ASM15460v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/605/GCA_000154605.2_ASM15460v2,mtb
Mycobacterium tuberculosis W-148,W-148,20829,SAMN02595346,PRJNA39283,Terrabacteria group,Actinobacteria,GCA_000193185.2,4.41855,65.6,chromosome:NZ_CP012090.1/CP012090.1,-,1,4291,4103,2015/08/19,2017/03/11,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/193/185/GCF_000193185.2_ASM19318v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/193/185/GCA_000193185.2_ASM19318v2,mtb
Mycobacterium tuberculosis variant bovis,32-08,20829,SAMN02902640,PRJNA214551,Terrabacteria group,Actinobacteria,GCA_000749615.1,4.31419,65.6,-,JQER01,83,4284,4063,2014/09/08,2019/03/12,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/749/615/GCF_000749615.1_ASM74961v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/749/615/GCA_000749615.1_ASM74961v1,bovis
Mycobacterium tuberculosis variant bovis,18-08C,20829,SAMN02902638,PRJNA214551,Terrabacteria group,Actinobacteria,GCA_000749625.1,4.32932,65.6,-,JQEQ01,63,4296,4085,2014/09/08,2019/03/12,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/749/625/GCF_000749625.1_ASM74962v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/749/625/GCA_000749625.1_ASM74962v1,bovis
Mycobacterium tuberculosis variant bovis BCG str. ATCC 35743,63839,20829,SAMN00771609,PRJNA63839,Terrabacteria group,Actinobacteria,GCA_000194075.3,4.33406,65.7,chromosome:NZ_CP003494.1/CP003494.1,-,1,4226,3895,2014/03/14,2017/04/02,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/194/075/GCF_000194075.2_ASM19407v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/075/GCA_000194075.3_ASM19407v3,BCG
Mycobacterium tuberculosis CTRI-2,CTRI-2,20829,SAMN02603755,PRJNA43171,Terrabacteria group,Actinobacteria,GCA_000224435.1,4.39853,65.6,chromosome:NC_017524.1/CP002992.1,-,1,4277,4117,2011/08/25,2017/05/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/435/GCF_000224435.1_ASM22443v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/435/GCA_000224435.1_ASM22443v1,mtb
Mycobacterium tuberculosis variant bovis,35,20829,SAMN02902644,PRJNA214551,Terrabacteria group,Actinobacteria,GCA_000749665.1,4.27548,65.6,-,JQEV01,94,4281,4058,2014/09/08,2019/03/12,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/749/665/GCF_000749665.1_ASM74966v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/749/665/GCA_000749665.1_ASM74966v1,bovis
Mycobacterium tuberculosis variant bovis,08-08BF2,20829,SAMN02902642,PRJNA214551,Terrabacteria group,Actinobacteria,GCA_000749675.1,4.31111,65.5,-,JQET01,108,4312,4076,2014/09/08,2019/03/12,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/749/675/GCF_000749675.1_ASM74967v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/749/675/GCA_000749675.1_ASM74967v1,bovis
Mycobacterium tuberculosis variant bovis BCG str. Mexico,Mexico,20829,SAMN02604104,PRJNA45811,Terrabacteria group,Actinobacteria,GCA_000234725.1,4.35039,65.7,chromosome:NC_016804.1/CP002095.1,-,1,4213,4019,2011/11/09,2017/05/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/234/725/GCF_000234725.1_ASM23472v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/234/725/GCA_000234725.1_ASM23472v1,BCG
Mycobacterium tuberculosis variant africanum GM041182,GM041182,20829,SAMEA2272165,PRJEA68095,Terrabacteria group,Actinobacteria,GCA_000253355.1,4.38931,65.6,chromosome:NC_015758.1/FR878060.1,-,1,4243,4045,2011/07/05,2017/05/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/355/GCF_000253355.1_ASM25335v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/355/GCA_000253355.1_ASM25335v1,africanum
Mycobacterium tuberculosis variant bovis,09-1193,20829,SAMN02902635,PRJNA214551,Terrabacteria group,Actinobacteria,GCA_000749685.1,4.30894,65.5,-,JQEN01,89,4298,4081,2014/09/08,2019/03/12,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/749/685/GCF_000749685.1_ASM74968v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/749/685/GCA_000749685.1_ASM74968v1,bovis
Mycobacterium tuberculosis variant bovis,534,20829,SAMN02902634,PRJNA214551,Terrabacteria group,Actinobacteria,GCA_000749725.1,4.32599,65.6,-,JQEM01,72,4295,4082,2014/09/08,2019/03/12,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/749/725/GCF_000749725.1_ASM74972v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/749/725/GCA_000749725.1_ASM74972v1,bovis
Mycobacterium tuberculosis CCDC5180,CCDC5180,20829,SAMN02603011,PRJNA19583,Terrabacteria group,Actinobacteria,GCA_000270365.1,4.4059800000000005,65.6,chromosome:NC_017522.1/CP001642.1,-,1,4284,4064,2011/07/05,2017/05/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/365/GCF_000270365.1_ASM27036v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/365/GCA_000270365.1_ASM27036v1,CDC
Mycobacterium tuberculosis H37Rv,H37Rv,20829,SAMN03081436,PRJNA37301,Terrabacteria group,Actinobacteria,GCA_000277735.2,4.41171,65.6,chromosome:NC_018143.2/CP003248.2,-,1,4286,4143,2012/07/12,2017/03/08,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/735/GCF_000277735.2_ASM27773v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/277/735/GCA_000277735.2_ASM27773v2,H37Rv
Mycobacterium tuberculosis variant bovis,0822-11,20829,SAMN02902645,PRJNA214551,Terrabacteria group,Actinobacteria,GCA_000749745.1,4.301769999999999,65.5,-,JQEW01,85,4284,4054,2014/09/08,2019/03/12,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/749/745/GCF_000749745.1_ASM74974v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/749/745/GCA_000749745.1_ASM74974v1,bovis
Mycobacterium tuberculosis variant bovis,61-09,20829,SAMN02902639,PRJNA214551,Terrabacteria group,Actinobacteria,GCA_000749765.1,4.33249,65.6,-,JQEX01,68,4293,4074,2014/09/08,2019/03/12,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/749/765/GCF_000749765.1_ASM74976v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/749/765/GCA_000749765.1_ASM74976v1,bovis
Mycobacterium tuberculosis 7199-99,7199-99,20829,SAMEA2272730,PRJEA82273,Terrabacteria group,Actinobacteria,GCA_000331445.1,4.4212,65.6,chromosome:NC_020089.1/HE663067.1,-,1,4288,4129,2013/01/07,2017/05/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/331/445/GCF_000331445.1_ASM33144v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/331/445/GCA_000331445.1_ASM33144v1,mtb
Mycobacterium tuberculosis variant bovis BCG str. Korea 1168P,Korea 1168P,20829,SAMN02603488,PRJNA170028,Terrabacteria group,Actinobacteria,GCA_000338715.2,4.37671,65.6,chromosome:NC_020245.2/CP003900.2,-,1,4241,4046,2013/02/08,2017/05/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/338/715/GCF_000338715.2_ASM33871v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/338/715/GCA_000338715.2_ASM33871v2,BCG
Mycobacterium tuberculosis variant bovis,45-08B,20829,SAMN02902637,PRJNA214551,Terrabacteria group,Actinobacteria,GCA_000749785.1,4.32005,65.5,-,JQEP01,72,4295,4070,2014/09/08,2019/03/12,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/749/785/GCF_000749785.1_ASM74978v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/749/785/GCA_000749785.1_ASM74978v1,bovis
Mycobacterium tuberculosis variant bovis,09-1192,20829,SAMN02902636,PRJNA214551,Terrabacteria group,Actinobacteria,GCA_000749805.1,4.3345400000000005,65.6,-,JQEO01,56,4285,4074,2014/09/08,2019/03/12,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/749/805/GCF_000749805.1_ASM74980v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/749/805/GCA_000749805.1_ASM74980v1,bovis
Mycobacterium tuberculosis str. Erdman = ATCC 35801,Erdman (ATCC35801),20829,SAMD00061050,PRJDB66,Terrabacteria group,Actinobacteria,GCA_000350205.1,4.39235,65.6,chromosome 1:NC_020559.1/AP012340.1,-,1,4284,4089,2012/03/01,2017/03/09,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/350/205/GCF_000350205.1_ASM35020v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/350/205/GCA_000350205.1_ASM35020v1,mtb
Mycobacterium tuberculosis str. Beijing/NITR203,Beijing/NITR203,20829,SAMN02603651,PRJNA193385,Terrabacteria group,Actinobacteria,GCA_000364825.1,4.41113,65.6,chromosome:NC_021054.1/CP005082.1,-,1,4294,4016,2013/04/15,2017/05/19,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/364/825/GCF_000364825.1_ASM36482v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/364/825/GCA_000364825.1_ASM36482v1,mtb
